Country,Allies,Organizations,Climate_Stance,Major_Rivals
Afghanistan,"Pakistan, China","United Nations","Limited climate infrastructure",""
Bangladesh,"India, Japan","SAARC, United Nations","Advocates strongly for climate adaptation funding",""
Sri Lanka,"India, China","SAARC, United Nations","Supports sustainable tourism and climate resilience",""
Nepal,"India, China","SAARC, United Nations","Focuses on mountain ecosystem protection",""
Myanmar,"China, Russia","ASEAN, United Nations","Limited climate engagement",""
Azerbaijan,"Turkey, Pakistan","OIC, United Nations","Supports balanced energy transition","Armenia"
Armenia,"Russia, France","United Nations","Supports sustainable development initiatives","Azerbaijan"
Algeria,"Russia, China","African Union, OPEC, United Nations","Supports desertification prevention initiatives","Morocco"
Morocco,"United States, France","African Union, United Nations","Investing heavily in solar energy","Algeria"
Tunisia,"France, EU nations","African Union, United Nations","Supports Mediterranean climate cooperation",""
Libya,"Turkey, Qatar","OPEC, United Nations","Limited climate policy due to instability",""
Sudan,"Egypt, Saudi Arabia","African Union, United Nations","Needs climate adaptation assistance",""
Ethiopia,"China, African Union nations","African Union, United Nations","Focuses on hydropower and development",""
Kenya,"United States, United Kingdom","African Union, United Nations","Supports renewable energy expansion",""
Tanzania,"China, African Union nations","African Union, United Nations","Supports wildlife and forest protection",""
Uganda,"Kenya, China","African Union, United Nations","Supports sustainable agriculture",""
Ghana,"United States, United Kingdom","ECOWAS, African Union, United Nations","Supports climate resilience projects",""
Ivory Coast,"France, ECOWAS nations","ECOWAS, United Nations","Supports sustainable cocoa production",""
Senegal,"France, United States","African Union, United Nations","Supports coastal climate adaptation",""
Angola,"China, Russia","OPEC, African Union","Balancing oil production and sustainability",""
Chile,"United States, Brazil","United Nations, APEC","Supports green mining and clean energy",""
Peru,"United States, Brazil","United Nations, APEC","Focuses on Amazon rainforest protection",""
Colombia,"United States, NATO nations","United Nations, OAS","Supports biodiversity conservation",""
Venezuela,"Russia, China, Iran","OPEC, United Nations","Prioritizes oil economy","United States"
Cuba,"Russia, China, Venezuela","United Nations","Supports climate equity for developing nations","United States"
Jamaica,"United States, Canada","CARICOM, United Nations","Supports hurricane resilience initiatives",""
Ireland,"EU nations, United States","EU, United Nations","Supports aggressive emissions reductions",""
Portugal,"Spain, United States","EU, NATO","Leader in renewable energy use",""
Czech Republic,"Poland, Germany, United States","EU, NATO","Supports EU climate transition","Russia"
Slovakia,"Czech Republic, Poland","EU, NATO","Supports sustainable energy transition",""
Hungary,"Serbia, Turkey","EU, NATO","Supports gradual climate reforms",""
Romania,"United States, Poland","EU, NATO","Supports Black Sea environmental protection","Russia"
Bulgaria,"EU nations, United States","EU, NATO","Supports EU environmental targets",""
Serbia,"Russia, China","United Nations","Supports balanced energy transition","Kosovo"
Croatia,"EU nations, United States","EU, NATO","Supports Adriatic environmental initiatives",""
Slovenia,"EU nations, Austria","EU, NATO","Supports green technology",""
Bosnia and Herzegovina,"EU nations, Turkey","United Nations","Developing climate infrastructure",""
Albania,"United States, Turkey","NATO, United Nations","Supports renewable energy growth",""
Estonia,"Finland, United States","EU, NATO","Supports digital sustainability initiatives","Russia"
Latvia,"Lithuania, United States","EU, NATO","Supports renewable energy policies","Russia"
Lithuania,"Poland, United States","EU, NATO","Supports energy independence","Russia"
Belarus,"Russia","United Nations","Limited climate engagement","EU nations"
Kazakhstan,"Russia, China","SCO, United Nations","Supports balanced energy policy",""
Uzbekistan,"Russia, China","SCO, United Nations","Focuses on water conservation",""
Turkmenistan,"Russia, China","United Nations","Gas-focused energy policy",""
Kyrgyzstan,"Russia, China","SCO, United Nations","Supports mountain climate resilience",""
Tajikistan,"Russia, China","SCO, United Nations","Focuses on glacier protection",""
Mongolia,"United States, Japan","United Nations","Supports anti-desertification measures",""
Taiwan,"United States, Japan","APEC","Supports high-tech sustainability","China"
Cambodia,"China","ASEAN, United Nations","Needs climate adaptation support",""
Laos,"China, Vietnam","ASEAN, United Nations","Supports hydropower development",""
Brunei,"ASEAN nations, United Kingdom","ASEAN, OIC","Gradually investing in sustainability",""
Papua New Guinea,"Australia, New Zealand","United Nations","Supports rainforest conservation",""
Fiji,"Australia, New Zealand","United Nations","Advocates strongly against sea-level rise",""
Iceland,"Norway, United States","NATO, United Nations","Leader in geothermal energy",""
Luxembourg,"France, Germany","EU, NATO","Supports EU climate leadership",""
Malta,"EU nations, Italy","EU, United Nations","Supports Mediterranean sustainability",""
Cyprus,"Greece, France","EU, United Nations","Supports marine conservation","Turkey"
Kosovo,"United States, Albania","World Bank, IMF","Developing climate infrastructure","Serbia"
