Rank,Country,GDP_2026_Trillion_USD,Key_Policies,International_Stance,Major_Agreements_Signed,Recent_Official_Statements_Notes
86,Philippines, (earlier ~520 in Top 50 adjustment; listed for completeness),,,,,
87,Ghana,90,"Oil, cocoa, gold","ECOWAS, democratic","ECOWAS, Paris Agreement","Democracy, growth"
88,Colombia, (earlier),,,,,
89,Myanmar,85,"Resources, political challenges","ASEAN, China ties","ASEAN, Paris Agreement","Internal stability"
90,Azerbaijan,80,"Oil, energy corridor","Caspian, balancing","OPEC+, Paris Agreement","Energy exports"
91,Jordan,78,"Services, tourism, reforms","US ally, mediator","US FTA, Paris Agreement","Regional stability"
92,Serbia,75,"EU candidate, Balkans","EU path, Russia/China ties","EU candidate, Paris Agreement","Sovereignty, EU accession"
93,Belarus,70,"Allied to Russia, state economy","Union State with Russia","CSTO, SCO, Paris Agreement","Integration with Russia"
94,Libya,65,"Oil, instability","AU, balancing","AU, OPEC, Paris Agreement","Reunification"
95,Tunisia,60,"Tourism, reforms","Arab, EU ties","EU association, Paris Agreement","Democracy, economy"
96,Croatia,58,"Tourism, EU","EU, NATO, Adriatic","EU, NATO, Paris Agreement","EU integration"
97,Cuba,55,"State socialist, tourism","Anti-US, Global South","ALBA, Paris Agreement","Sovereignty, oppose embargo"
98,Dominican Republic,55,"Tourism, services","US/CAFTA ties","CAFTA, Paris Agreement","Growth, stability"
99,Sudan,50,"Agriculture, conflict","AU, Arab","AU, Arab League, Paris Agreement","Peace process"
100,Senegal,48,"Mining, agriculture, stability","ECOWAS, franc","ECOWAS, Paris Agreement","Democratic model, growth"
